year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,trans_cap_cost,built_capacity,investment_bool
2024,11060,,34.287859999999995,-118.76543999999998,p10,6,,8083.753000000001,2.5236231270698317,0
2024,11718,,33.990902,-117.59013,p10,6,,8347.527,76.97050537562986,0
2024,11714,,34.038982,-117.60496,p10,6,,8356.905999999999,13.627564886177089,0
2024,10087,,35.37554,-118.92053,p10,6,,8377.487,14.509404019477714,0
2024,11858,,34.14852,-116.35859,p10,7,,18401.17,8.397179739507958,0
2024,11856,,34.079227,-116.472916,p10,7,,20456.236,2.583747612156295,0
2024,11857,,34.089787,-116.40877,p10,7,,117431.664,78.14399572525883,0
2024,13042,,32.770965999999994,-117.02311,p11,6,,323.3736,0.9683925773195876,0
2024,13160,,32.674343,-116.99478,p11,6,,5668.8203,18.399458969072164,0
2024,13261,,32.61513,-117.04343,p11,6,,7617.384,6.7787480412371135,0
2024,13158,,32.73353,-116.94606,p11,6,,8101.735,5.953400412371136,0
2024,9745,,36.79183,-114.15926,p13,5,,30567.682,6.356985081081081,0
2024,9747,,36.80115,-114.092224,p13,5,,40542.805,6.443014918918948,0
2024,754,,45.779340000000005,-111.125336,p18,2,,4266.7085,1.8375384615384602,0
2024,591,,46.573597,-112.062546,p18,3,,9820.824,9.241323832923833,0
2024,779,,45.68057,-110.62238,p18,3,,10772.159,1.9119980343980345,0
2024,750,,45.763767,-111.28072,p18,3,,12531.99,0.318666339066339,0
2024,567,,46.621693,-112.07601,p18,3,,22295.428,0.6904733320733243,0
2024,845,,45.723392,-108.48793,p20,3,,3943.4148,1.8144,0
2024,816,,45.78447,-108.34219,p20,3,,8454.815,1.1856,0
2024,7237,,39.645092,-110.76543,p25,5,,843.6955,4.867444255975326,0
2024,8538,,38.579754,-109.60382,p25,5,,5673.4917,3.6505831919814944,0
2024,7236,,39.637493,-110.83582,p25,5,,5945.368,0.9734888511950652,0
2024,8539,,38.586735,-109.53441,p25,5,,7574.844,39.308483700848114,0
2024,10947,,35.201405,-114.08028,p27,6,,3519.6436,2.7840800834202293,0
