reeds_ba,state_abbr,year,pollutant,tonnes,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,47.34,AP2,ACS,3649.64,172784.43,0.0249
p1,WA,2010,SO2,47.34,AP2,H6C,9375.9,443882.41,0.064
p1,WA,2010,SO2,47.34,EASIUR,ACS,18204.36,861847.11,0.1243
p1,WA,2010,SO2,47.34,EASIUR,H6C,46771.73,2214309.21,0.3194
p1,WA,2010,SO2,47.34,InMAP,ACS,4154.93,196706.42,0.0284
p1,WA,2010,SO2,47.34,InMAP,H6C,10674.16,505345.82,0.0729
p1,WA,2012,SO2,58.59,AP2,ACS,3649.64,213828.75,0.0308
p1,WA,2012,SO2,58.59,AP2,H6C,9375.9,549325.1,0.0792
p1,WA,2012,SO2,58.59,EASIUR,ACS,18204.36,1066575.84,0.1538
p1,WA,2012,SO2,58.59,EASIUR,H6C,46771.73,2740310.53,0.3953
p1,WA,2012,SO2,58.59,InMAP,ACS,4154.93,243433.34,0.0351
p1,WA,2012,SO2,58.59,InMAP,H6C,10674.16,625388.93,0.0902
p1,WA,2014,SO2,38.4,AP2,ACS,3649.64,140162.13,0.0202
p1,WA,2014,SO2,38.4,AP2,H6C,9375.9,360075.87,0.0519
p1,WA,2014,SO2,38.4,EASIUR,ACS,18204.36,699127.38,0.1008
p1,WA,2014,SO2,38.4,EASIUR,H6C,46771.73,1796239.94,0.2591
p1,WA,2014,SO2,38.4,InMAP,ACS,4154.93,159567.57,0.023
p1,WA,2014,SO2,38.4,InMAP,H6C,10674.16,409934.78,0.0591
p1,WA,2016,SO2,83.93,AP2,ACS,3649.64,306304.05,0.0442
p1,WA,2016,SO2,83.93,AP2,H6C,9375.9,786893.72,0.1135
p1,WA,2016,SO2,83.93,EASIUR,ACS,18204.36,1527841.76,0.2204
p1,WA,2016,SO2,83.93,EASIUR,H6C,46771.73,3925422.56,0.5662
p1,WA,2016,SO2,83.93,InMAP,ACS,4154.93,348711.84,0.0503
p1,WA,2016,SO2,83.93,InMAP,H6C,10674.16,895853.15,0.1292
p1,WA,2018,SO2,63.47,AP2,ACS,3649.64,231630.46,0.0334
p1,WA,2018,SO2,63.47,AP2,H6C,9375.9,595057.6,0.0858
p1,WA,2018,SO2,63.47,EASIUR,ACS,18204.36,1155370.57,0.1667
p1,WA,2018,SO2,63.47,EASIUR,H6C,46771.73,2968447.27,0.4282
p1,WA,2018,SO2,63.47,InMAP,ACS,4154.93,263699.69,0.038
p1,WA,2018,SO2,63.47,InMAP,H6C,10674.16,677453.91,0.0977
p1,WA,2020,SO2,83.93,AP2,ACS,3649.64,306304.05,0.0442
p1,WA,2020,SO2,83.93,AP2,H6C,9375.9,786893.72,0.1135
p1,WA,2020,SO2,83.93,EASIUR,ACS,18204.36,1527841.76,0.2204
p1,WA,2020,SO2,83.93,EASIUR,H6C,46771.73,3925422.56,0.5662
p1,WA,2020,SO2,83.93,InMAP,ACS,4154.93,348711.84,0.0503
p1,WA,2020,SO2,83.93,InMAP,H6C,10674.16,895853.15,0.1292
p1,WA,2022,SO2,22.58,AP2,ACS,3649.64,82425.47,0.0119
p1,WA,2022,SO2,22.58,AP2,H6C,9375.9,211750.67,0.0305
p1,WA,2022,SO2,22.58,EASIUR,ACS,18204.36,411137.5,0.0593
p1,WA,2022,SO2,22.58,EASIUR,H6C,46771.73,1056319.08,0.1524
p1,WA,2022,SO2,22.58,InMAP,ACS,4154.93,93837.28,0.0135
p1,WA,2022,SO2,22.58,InMAP,H6C,10674.16,241071.32,0.0348
p1,WA,2024,SO2,32.65,AP2,ACS,3649.64,119153.2,0.0172
p1,WA,2024,SO2,32.65,AP2,H6C,9375.9,306104.02,0.0442
p1,WA,2024,SO2,32.65,EASIUR,ACS,18204.36,594335.04,0.0857
p1,WA,2024,SO2,32.65,EASIUR,H6C,46771.73,1527001.18,0.2203
p1,WA,2024,SO2,32.65,InMAP,ACS,4154.93,135649.95,0.0196
p1,WA,2024,SO2,32.65,InMAP,H6C,10674.16,348489.57,0.0503
p1,WA,2026,SO2,21.51,AP2,ACS,3649.64,78517.26,0.0113
p1,WA,2026,SO2,21.51,AP2,H6C,9375.9,201710.47,0.0291
p1,WA,2026,SO2,21.51,EASIUR,ACS,18204.36,391643.34,0.0565
p1,WA,2026,SO2,21.51,EASIUR,H6C,46771.73,1006233.53,0.1451
p1,WA,2026,SO2,21.51,InMAP,ACS,4154.93,89387.97,0.0129
p1,WA,2026,SO2,21.51,InMAP,H6C,10674.16,229640.88,0.0331
p1,WA,2028,SO2,13.22,AP2,ACS,3649.64,48251.99,0.007
p1,WA,2028,SO2,13.22,AP2,H6C,9375.9,123959.15,0.0179
p1,WA,2028,SO2,13.22,EASIUR,ACS,18204.36,240680.48,0.0347
p1,WA,2028,SO2,13.22,EASIUR,H6C,46771.73,618370.71,0.0892
p1,WA,2028,SO2,13.22,InMAP,ACS,4154.93,54932.48,0.0079
p1,WA,2028,SO2,13.22,InMAP,H6C,10674.16,141123.49,0.0204
p1,WA,2030,SO2,3.04,AP2,ACS,3649.64,11087.91,0.0016
p1,WA,2030,SO2,3.04,AP2,H6C,9375.9,28484.79,0.0041
p1,WA,2030,SO2,3.04,EASIUR,ACS,18204.36,55306.39,0.008
p1,WA,2030,SO2,3.04,EASIUR,H6C,46771.73,142096.48,0.0205
p1,WA,2030,SO2,3.04,InMAP,ACS,4154.93,12623.03,0.0018
p1,WA,2030,SO2,3.04,InMAP,H6C,10674.16,32429.01,0.0047
p1,WA,2034,SO2,-0.0,AP2,ACS,3649.64,-0.0,-0.0
p1,WA,2034,SO2,-0.0,AP2,H6C,9375.9,-0.0,-0.0
p1,WA,2034,SO2,-0.0,EASIUR,ACS,18204.36,-0.0,-0.0
p1,WA,2034,SO2,-0.0,EASIUR,H6C,46771.73,-0.0,-0.0
p1,WA,2034,SO2,-0.0,InMAP,ACS,4154.93,-0.0,-0.0
p1,WA,2034,SO2,-0.0,InMAP,H6C,10674.16,-0.0,-0.0
p1,WA,2036,SO2,-0.0,AP2,ACS,3649.64,-0.0,-0.0
p1,WA,2036,SO2,-0.0,AP2,H6C,9375.9,-0.0,-0.0
p1,WA,2036,SO2,-0.0,EASIUR,ACS,18204.36,-0.0,-0.0
p1,WA,2036,SO2,-0.0,EASIUR,H6C,46771.73,-0.0,-0.0
p1,WA,2036,SO2,-0.0,InMAP,ACS,4154.93,-0.0,-0.0
p1,WA,2036,SO2,-0.0,InMAP,H6C,10674.16,-0.0,-0.0
p1,WA,2042,SO2,0.0,AP2,ACS,3649.64,0.0,0.0
p1,WA,2042,SO2,0.0,AP2,H6C,9375.9,0.0,0.0
p1,WA,2042,SO2,0.0,EASIUR,ACS,18204.36,0.0,0.0
p1,WA,2042,SO2,0.0,EASIUR,H6C,46771.73,0.0,0.0
p1,WA,2042,SO2,0.0,InMAP,ACS,4154.93,0.0,0.0
p1,WA,2042,SO2,0.0,InMAP,H6C,10674.16,0.0,0.0
p1,WA,2044,SO2,2.6,AP2,ACS,3649.64,9480.59,0.0014
p1,WA,2044,SO2,2.6,AP2,H6C,9375.9,24355.6,0.0035
p1,WA,2044,SO2,2.6,EASIUR,ACS,18204.36,47289.1,0.0068
p1,WA,2044,SO2,2.6,EASIUR,H6C,46771.73,121498.0,0.0175
p1,WA,2044,SO2,2.6,InMAP,ACS,4154.93,10793.18,0.0016
p1,WA,2044,SO2,2.6,InMAP,H6C,10674.16,27728.06,0.004
p2,WA,2010,SO2,15207.95,AP2,ACS,3688.02,56087245.05,8.0902
p2,WA,2010,SO2,15207.95,AP2,H6C,9474.52,144088071.68,20.7837
p2,WA,2010,SO2,15207.95,EASIUR,ACS,16964.09,257989042.49,37.2131
p2,WA,2010,SO2,15207.95,EASIUR,H6C,43585.07,662839649.25,95.61
p2,WA,2010,SO2,15207.95,InMAP,ACS,5086.28,77351918.35,11.1575
p2,WA,2010,SO2,15207.95,InMAP,H6C,13067.11,198723953.86,28.6645
p2,WA,2012,SO2,9324.42,AP2,ACS,3688.02,34388660.55,4.9603
p2,WA,2012,SO2,9324.42,AP2,H6C,9474.52,88344431.64,12.7431
p2,WA,2012,SO2,9324.42,EASIUR,ACS,16964.09,158180306.4,22.8164
p2,WA,2012,SO2,9324.42,EASIUR,H6C,43585.07,406405550.41,58.6212
p2,WA,2012,SO2,9324.42,InMAP,ACS,5086.28,47426627.22,6.841
p2,WA,2012,SO2,9324.42,InMAP,H6C,13067.11,121843220.96,17.575
p2,WA,2014,SO2,15168.82,AP2,ACS,3688.02,55942932.28,8.0694
p2,WA,2014,SO2,15168.82,AP2,H6C,9474.52,143717332.33,20.7302
p2,WA,2014,SO2,15168.82,EASIUR,ACS,16964.09,257325235.34,37.1174
p2,WA,2014,SO2,15168.82,EASIUR,H6C,43585.07,661134159.4,95.364
p2,WA,2014,SO2,15168.82,InMAP,ACS,5086.28,77152891.46,11.1288
p2,WA,2014,SO2,15168.82,InMAP,H6C,13067.11,198212636.09,28.5908
p2,WA,2016,SO2,1694.52,AP2,ACS,3688.02,6249441.48,0.9014
p2,WA,2016,SO2,1694.52,AP2,H6C,9474.52,16054808.39,2.3158
p2,WA,2016,SO2,1694.52,EASIUR,ACS,16964.09,28746062.01,4.1464
p2,WA,2016,SO2,1694.52,EASIUR,H6C,43585.07,73855964.87,10.6532
p2,WA,2016,SO2,1694.52,InMAP,ACS,5086.28,8618827.45,1.2432
p2,WA,2016,SO2,1694.52,InMAP,H6C,13067.11,22142533.83,3.1939
p2,WA,2018,SO2,1652.49,AP2,ACS,3688.02,6094405.78,0.8791
p2,WA,2018,SO2,1652.49,AP2,H6C,9474.52,15656521.83,2.2583
p2,WA,2018,SO2,1652.49,EASIUR,ACS,16964.09,28032931.72,4.0436
p2,WA,2018,SO2,1652.49,EASIUR,H6C,43585.07,72023751.27,10.3889
p2,WA,2018,SO2,1652.49,InMAP,ACS,5086.28,8405012.18,1.2124
p2,WA,2018,SO2,1652.49,InMAP,H6C,13067.11,21593223.4,3.1147
p2,WA,2020,SO2,1255.45,AP2,ACS,3688.02,4630131.23,0.6679
p2,WA,2020,SO2,1255.45,AP2,H6C,9474.52,11894802.12,1.7157
p2,WA,2020,SO2,1255.45,EASIUR,ACS,16964.09,21297589.54,3.072
p2,WA,2020,SO2,1255.45,EASIUR,H6C,43585.07,54718939.4,7.8928
p2,WA,2020,SO2,1255.45,InMAP,ACS,5086.28,6385578.98,0.9211
p2,WA,2020,SO2,1255.45,InMAP,H6C,13067.11,16405120.0,2.3663
p2,WA,2022,SO2,5675.86,AP2,ACS,3688.02,20932697.84,3.0194
p2,WA,2022,SO2,5675.86,AP2,H6C,9474.52,53776078.05,7.7568
p2,WA,2022,SO2,5675.86,EASIUR,ACS,16964.09,96285825.21,13.8886
p2,WA,2022,SO2,5675.86,EASIUR,H6C,43585.07,247382842.29,35.6832
p2,WA,2022,SO2,5675.86,InMAP,ACS,5086.28,28869029.54,4.1642
p2,WA,2022,SO2,5675.86,InMAP,H6C,13067.11,74167103.0,10.6981
p2,WA,2024,SO2,450.1,AP2,ACS,3688.02,1659967.17,0.2394
p2,WA,2024,SO2,450.1,AP2,H6C,9474.52,4264453.87,0.6151
p2,WA,2024,SO2,450.1,EASIUR,ACS,16964.09,7635485.41,1.1014
p2,WA,2024,SO2,450.1,EASIUR,H6C,43585.07,19617509.43,2.8297
p2,WA,2024,SO2,450.1,InMAP,ACS,5086.28,2289319.88,0.3302
p2,WA,2024,SO2,450.1,InMAP,H6C,13067.11,5881466.27,0.8484
p2,WA,2026,SO2,26.54,AP2,ACS,3688.02,97868.34,0.0141
p2,WA,2026,SO2,26.54,AP2,H6C,9474.52,251423.67,0.0363
p2,WA,2026,SO2,26.54,EASIUR,ACS,16964.09,450172.95,0.0649
p2,WA,2026,SO2,26.54,EASIUR,H6C,43585.07,1156609.11,0.1668
p2,WA,2026,SO2,26.54,InMAP,ACS,5086.28,134973.72,0.0195
p2,WA,2026,SO2,26.54,InMAP,H6C,13067.11,346759.49,0.05
p2,WA,2028,SO2,15.19,AP2,ACS,3688.02,56018.18,0.0081
p2,WA,2028,SO2,15.19,AP2,H6C,9474.52,143910.64,0.0208
p2,WA,2028,SO2,15.19,EASIUR,ACS,16964.09,257671.35,0.0372
p2,WA,2028,SO2,15.19,EASIUR,H6C,43585.07,662023.41,0.0955
p2,WA,2028,SO2,15.19,InMAP,ACS,5086.28,77256.66,0.0111
p2,WA,2028,SO2,15.19,InMAP,H6C,13067.11,198479.24,0.0286
p2,WA,2030,SO2,4.76,AP2,ACS,3688.02,17546.74,0.0025
p2,WA,2030,SO2,4.76,AP2,H6C,9474.52,45077.55,0.0065
p2,WA,2030,SO2,4.76,EASIUR,ACS,16964.09,80711.15,0.0116
p2,WA,2030,SO2,4.76,EASIUR,H6C,43585.07,207367.52,0.0299
p2,WA,2030,SO2,4.76,InMAP,ACS,5086.28,24199.33,0.0035
p2,WA,2030,SO2,4.76,InMAP,H6C,13067.11,62170.23,0.009
p3,WA,2010,SO2,159.7,AP2,ACS,3015.67,481596.21,0.0695
p3,WA,2010,SO2,159.7,AP2,H6C,7747.04,1237185.0,0.1785
p3,WA,2010,SO2,159.7,EASIUR,ACS,14014.26,2238046.03,0.3228
p3,WA,2010,SO2,159.7,EASIUR,H6C,36006.0,5750077.53,0.8294
p3,WA,2010,SO2,159.7,InMAP,ACS,1953.66,311994.68,0.045
p3,WA,2010,SO2,159.7,InMAP,H6C,5018.37,801423.34,0.1156
p3,WA,2012,SO2,3.88,AP2,ACS,3015.67,11694.41,0.0017
p3,WA,2012,SO2,3.88,AP2,H6C,7747.04,30042.07,0.0043
p3,WA,2012,SO2,3.88,EASIUR,ACS,14014.26,54345.57,0.0078
p3,WA,2012,SO2,3.88,EASIUR,H6C,36006.0,139626.82,0.0201
p3,WA,2012,SO2,3.88,InMAP,ACS,1953.66,7576.04,0.0011
p3,WA,2012,SO2,3.88,InMAP,H6C,5018.37,19460.64,0.0028
p3,WA,2014,SO2,1.58,AP2,ACS,3015.67,4768.1,0.0007
p3,WA,2014,SO2,1.58,AP2,H6C,7747.04,12248.89,0.0018
p3,WA,2014,SO2,1.58,EASIUR,ACS,14014.26,22158.03,0.0032
p3,WA,2014,SO2,1.58,EASIUR,H6C,36006.0,56929.3,0.0082
p3,WA,2014,SO2,1.58,InMAP,ACS,1953.66,3088.94,0.0004
p3,WA,2014,SO2,1.58,InMAP,H6C,5018.37,7934.58,0.0011
p3,WA,2016,SO2,4.46,AP2,ACS,3015.67,13435.04,0.0019
p3,WA,2016,SO2,4.46,AP2,H6C,7747.04,34513.62,0.005
p3,WA,2016,SO2,4.46,EASIUR,ACS,14014.26,62434.54,0.009
p3,WA,2016,SO2,4.46,EASIUR,H6C,36006.0,160409.32,0.0231
p3,WA,2016,SO2,4.46,InMAP,ACS,1953.66,8703.68,0.0013
p3,WA,2016,SO2,4.46,InMAP,H6C,5018.37,22357.22,0.0032
p3,WA,2018,SO2,2.95,AP2,ACS,3015.67,8903.06,0.0013
p3,WA,2018,SO2,2.95,AP2,H6C,7747.04,22871.31,0.0033
p3,WA,2018,SO2,2.95,EASIUR,ACS,14014.26,41373.81,0.006
p3,WA,2018,SO2,2.95,EASIUR,H6C,36006.0,106299.24,0.0153
p3,WA,2018,SO2,2.95,InMAP,ACS,1953.66,5767.71,0.0008
p3,WA,2018,SO2,2.95,InMAP,H6C,5018.37,14815.57,0.0021
p3,WA,2020,SO2,10.98,AP2,ACS,3015.67,33122.11,0.0048
p3,WA,2020,SO2,10.98,AP2,H6C,7747.04,85088.26,0.0123
p3,WA,2020,SO2,10.98,EASIUR,ACS,14014.26,153923.17,0.0222
p3,WA,2020,SO2,10.98,EASIUR,H6C,36006.0,395465.58,0.057
p3,WA,2020,SO2,10.98,InMAP,ACS,1953.66,21457.65,0.0031
p3,WA,2020,SO2,10.98,InMAP,H6C,5018.37,55118.45,0.008
p3,WA,2034,SO2,0.0,AP2,ACS,3015.67,0.0,0.0
p3,WA,2034,SO2,0.0,AP2,H6C,7747.04,0.0,0.0
p3,WA,2034,SO2,0.0,EASIUR,ACS,14014.26,0.0,0.0
p3,WA,2034,SO2,0.0,EASIUR,H6C,36006.0,0.0,0.0
p3,WA,2034,SO2,0.0,InMAP,ACS,1953.66,0.0,0.0
p3,WA,2034,SO2,0.0,InMAP,H6C,5018.37,0.0,0.0
p4,WA,2048,SO2,-0.0,AP2,ACS,2931.83,-0.0,-0.0
p4,WA,2048,SO2,-0.0,AP2,H6C,7531.62,-0.0,-0.0
p4,WA,2048,SO2,-0.0,EASIUR,ACS,14418.79,-0.0,-0.0
p4,WA,2048,SO2,-0.0,EASIUR,H6C,37045.37,-0.0,-0.0
p4,WA,2048,SO2,-0.0,InMAP,ACS,1984.28,-0.0,-0.0
p4,WA,2048,SO2,-0.0,InMAP,H6C,5097.06,-0.0,-0.0
p5,OR,2010,SO2,7738.37,AP2,ACS,4953.03,38328355.29,5.5286
p5,OR,2010,SO2,7738.37,AP2,H6C,12724.74,98468706.94,14.2034
p5,OR,2010,SO2,7738.37,EASIUR,ACS,15118.53,116992775.52,16.8754
p5,OR,2010,SO2,7738.37,EASIUR,H6C,38843.24,300583262.7,43.357
p5,OR,2010,SO2,7738.37,InMAP,ACS,5349.11,41393377.7,5.9707
p5,OR,2010,SO2,7738.37,InMAP,H6C,13742.4,106343749.32,15.3393
p5,OR,2012,SO2,4859.23,AP2,ACS,4953.03,24067899.19,3.4716
p5,OR,2012,SO2,4859.23,AP2,H6C,12724.74,61832418.71,8.9189
p5,OR,2012,SO2,4859.23,EASIUR,ACS,15118.53,73464418.35,10.5967
p5,OR,2012,SO2,4859.23,EASIUR,H6C,38843.24,188748189.48,27.2256
p5,OR,2012,SO2,4859.23,InMAP,ACS,5349.11,25992548.71,3.7492
p5,OR,2012,SO2,4859.23,InMAP,H6C,13742.4,66777471.13,9.6322
p5,OR,2014,SO2,7803.77,AP2,ACS,4953.03,38652276.78,5.5753
p5,OR,2014,SO2,7803.77,AP2,H6C,12724.74,99300887.98,14.3235
p5,OR,2014,SO2,7803.77,EASIUR,ACS,15118.53,117981507.6,17.018
p5,OR,2014,SO2,7803.77,EASIUR,H6C,38843.24,303123558.99,43.7235
p5,OR,2014,SO2,7803.77,InMAP,ACS,5349.11,41743202.38,6.0212
p5,OR,2014,SO2,7803.77,InMAP,H6C,13742.4,107242484.1,15.469
p5,OR,2016,SO2,305.35,AP2,ACS,4953.03,1512402.89,0.2182
p5,OR,2016,SO2,305.35,AP2,H6C,12724.74,3885487.81,0.5605
p5,OR,2016,SO2,305.35,EASIUR,ACS,15118.53,4616431.12,0.6659
p5,OR,2016,SO2,305.35,EASIUR,H6C,38843.24,11860748.84,1.7108
p5,OR,2016,SO2,305.35,InMAP,ACS,5349.11,1633345.96,0.2356
p5,OR,2016,SO2,305.35,InMAP,H6C,13742.4,4196229.99,0.6053
p5,OR,2018,SO2,278.34,AP2,ACS,4953.03,1378646.83,0.1989
p5,OR,2018,SO2,278.34,AP2,H6C,12724.74,3541857.44,0.5109
p5,OR,2018,SO2,278.34,EASIUR,ACS,15118.53,4208156.53,0.607
p5,OR,2018,SO2,278.34,EASIUR,H6C,38843.24,10811790.85,1.5595
p5,OR,2018,SO2,278.34,InMAP,ACS,5349.11,1488893.75,0.2148
p5,OR,2018,SO2,278.34,InMAP,H6C,13742.4,3825117.76,0.5517
p5,OR,2020,SO2,297.23,AP2,ACS,4953.03,1472181.42,0.2124
p5,OR,2020,SO2,297.23,AP2,H6C,12724.74,3782155.53,0.5455
p5,OR,2020,SO2,297.23,EASIUR,ACS,15118.53,4493659.84,0.6482
p5,OR,2020,SO2,297.23,EASIUR,H6C,38843.24,11545319.18,1.6653
p5,OR,2020,SO2,297.23,InMAP,ACS,5349.11,1589908.08,0.2293
p5,OR,2020,SO2,297.23,InMAP,H6C,13742.4,4084633.71,0.5892
p5,OR,2022,SO2,194.07,AP2,ACS,4953.03,961258.79,0.1387
p5,OR,2022,SO2,194.07,AP2,H6C,12724.74,2469553.15,0.3562
p5,OR,2022,SO2,194.07,EASIUR,ACS,15118.53,2934128.88,0.4232
p5,OR,2022,SO2,194.07,EASIUR,H6C,38843.24,7538499.95,1.0874
p5,OR,2022,SO2,194.07,InMAP,ACS,5349.11,1038128.25,0.1497
p5,OR,2022,SO2,194.07,InMAP,H6C,13742.4,2667055.85,0.3847
p5,OR,2024,SO2,195.46,AP2,ACS,4953.03,968127.26,0.1396
p5,OR,2024,SO2,195.46,AP2,H6C,12724.74,2487198.81,0.3588
p5,OR,2024,SO2,195.46,EASIUR,ACS,15118.53,2955094.07,0.4263
p5,OR,2024,SO2,195.46,EASIUR,H6C,38843.24,7592364.67,1.0951
p5,OR,2024,SO2,195.46,InMAP,ACS,5349.11,1045545.97,0.1508
p5,OR,2024,SO2,195.46,InMAP,H6C,13742.4,2686112.72,0.3875
p5,OR,2026,SO2,179.85,AP2,ACS,4953.03,890786.27,0.1285
p5,OR,2026,SO2,179.85,AP2,H6C,12724.74,2288503.41,0.3301
p5,OR,2026,SO2,179.85,EASIUR,ACS,15118.53,2719019.82,0.3922
p5,OR,2026,SO2,179.85,EASIUR,H6C,38843.24,6985831.78,1.0077
p5,OR,2026,SO2,179.85,InMAP,ACS,5349.11,962020.21,0.1388
p5,OR,2026,SO2,179.85,InMAP,H6C,13742.4,2471526.65,0.3565
p5,OR,2028,SO2,161.24,AP2,ACS,4953.03,798603.49,0.1152
p5,OR,2028,SO2,161.24,AP2,H6C,12724.74,2051678.24,0.2959
p5,OR,2028,SO2,161.24,EASIUR,ACS,15118.53,2437642.78,0.3516
p5,OR,2028,SO2,161.24,EASIUR,H6C,38843.24,6262904.83,0.9034
p5,OR,2028,SO2,161.24,InMAP,ACS,5349.11,862465.8,0.1244
p5,OR,2028,SO2,161.24,InMAP,H6C,13742.4,2215761.37,0.3196
p5,OR,2030,SO2,142.5,AP2,ACS,4953.03,705823.49,0.1018
p5,OR,2030,SO2,142.5,AP2,H6C,12724.74,1813318.79,0.2616
p5,OR,2030,SO2,142.5,EASIUR,ACS,15118.53,2154442.82,0.3108
p5,OR,2030,SO2,142.5,EASIUR,H6C,38843.24,5535294.36,0.7984
p5,OR,2030,SO2,142.5,InMAP,ACS,5349.11,762266.43,0.11
p5,OR,2030,SO2,142.5,InMAP,H6C,13742.4,1958339.1,0.2825
p5,OR,2032,SO2,150.22,AP2,ACS,4953.03,744037.31,0.1073
p5,OR,2032,SO2,150.22,AP2,H6C,12724.74,1911493.24,0.2757
p5,OR,2032,SO2,150.22,EASIUR,ACS,15118.53,2271085.97,0.3276
p5,OR,2032,SO2,150.22,EASIUR,H6C,38843.24,5834979.37,0.8417
p5,OR,2032,SO2,150.22,InMAP,ACS,5349.11,803536.11,0.1159
p5,OR,2032,SO2,150.22,InMAP,H6C,13742.4,2064365.05,0.2978
p5,OR,2034,SO2,74.44,AP2,ACS,4953.03,368721.48,0.0532
p5,OR,2034,SO2,74.44,AP2,H6C,12724.74,947275.9,0.1366
p5,OR,2034,SO2,74.44,EASIUR,ACS,15118.53,1125478.74,0.1623
p5,OR,2034,SO2,74.44,EASIUR,H6C,38843.24,2891632.16,0.4171
p5,OR,2034,SO2,74.44,InMAP,ACS,5349.11,398207.21,0.0574
p5,OR,2034,SO2,74.44,InMAP,H6C,13742.4,1023034.36,0.1476
p5,OR,2036,SO2,50.78,AP2,ACS,4953.03,251491.95,0.0363
p5,OR,2036,SO2,50.78,AP2,H6C,12724.74,646103.56,0.0932
p5,OR,2036,SO2,50.78,EASIUR,ACS,15118.53,767649.45,0.1107
p5,OR,2036,SO2,50.78,EASIUR,H6C,38843.24,1972280.55,0.2845
p5,OR,2036,SO2,50.78,InMAP,ACS,5349.11,271603.13,0.0392
p5,OR,2036,SO2,50.78,InMAP,H6C,13742.4,697775.74,0.1006
p5,OR,2038,SO2,48.57,AP2,ACS,4953.03,240589.0,0.0347
p5,OR,2038,SO2,48.57,AP2,H6C,12724.74,618092.98,0.0892
p5,OR,2038,SO2,48.57,EASIUR,ACS,15118.53,734369.48,0.1059
p5,OR,2038,SO2,48.57,EASIUR,H6C,38843.24,1886776.12,0.2722
p5,OR,2038,SO2,48.57,InMAP,ACS,5349.11,259828.29,0.0375
p5,OR,2038,SO2,48.57,InMAP,H6C,13742.4,667525.01,0.0963
p5,OR,2040,SO2,26.67,AP2,ACS,4953.03,132100.25,0.0191
p5,OR,2040,SO2,26.67,AP2,H6C,12724.74,339376.43,0.049
p5,OR,2040,SO2,26.67,EASIUR,ACS,15118.53,403220.4,0.0582
p5,OR,2040,SO2,26.67,EASIUR,H6C,38843.24,1035972.53,0.1494
p5,OR,2040,SO2,26.67,InMAP,ACS,5349.11,142663.97,0.0206
p5,OR,2040,SO2,26.67,InMAP,H6C,13742.4,366518.09,0.0529
p5,OR,2042,SO2,25.19,AP2,ACS,4953.03,124750.15,0.018
p5,OR,2042,SO2,25.19,AP2,H6C,12724.74,320493.44,0.0462
p5,OR,2042,SO2,25.19,EASIUR,ACS,15118.53,380785.1,0.0549
p5,OR,2042,SO2,25.19,EASIUR,H6C,38843.24,978330.74,0.1411
p5,OR,2042,SO2,25.19,InMAP,ACS,5349.11,134726.11,0.0194
p5,OR,2042,SO2,25.19,InMAP,H6C,13742.4,346124.93,0.0499
p5,OR,2044,SO2,26.59,AP2,ACS,4953.03,131688.4,0.019
p5,OR,2044,SO2,26.59,AP2,H6C,12724.74,338318.35,0.0488
p5,OR,2044,SO2,26.59,EASIUR,ACS,15118.53,401963.27,0.058
p5,OR,2044,SO2,26.59,EASIUR,H6C,38843.24,1032742.66,0.149
p5,OR,2044,SO2,26.59,InMAP,ACS,5349.11,142219.19,0.0205
p5,OR,2044,SO2,26.59,InMAP,H6C,13742.4,365375.39,0.0527
p5,OR,2046,SO2,23.29,AP2,ACS,4953.03,115376.53,0.0166
p5,OR,2046,SO2,23.29,AP2,H6C,12724.74,296411.83,0.0428
p5,OR,2046,SO2,23.29,EASIUR,ACS,15118.53,352173.23,0.0508
p5,OR,2046,SO2,23.29,EASIUR,H6C,38843.24,904819.78,0.1305
p5,OR,2046,SO2,23.29,InMAP,ACS,5349.11,124602.9,0.018
p5,OR,2046,SO2,23.29,InMAP,H6C,13742.4,320117.39,0.0462
p5,OR,2048,SO2,15.81,AP2,ACS,4953.03,78311.81,0.0113
p5,OR,2048,SO2,15.81,AP2,H6C,12724.74,201189.5,0.029
p5,OR,2048,SO2,15.81,EASIUR,ACS,15118.53,239037.54,0.0345
p5,OR,2048,SO2,15.81,EASIUR,H6C,38843.24,614146.33,0.0886
p5,OR,2048,SO2,15.81,InMAP,ACS,5349.11,84574.21,0.0122
p5,OR,2048,SO2,15.81,InMAP,H6C,13742.4,217279.64,0.0313
p5,OR,2050,SO2,29.46,AP2,ACS,4953.03,145921.56,0.021
p5,OR,2050,SO2,29.46,AP2,H6C,12724.74,374884.53,0.0541
p5,OR,2050,SO2,29.46,EASIUR,ACS,15118.53,445408.32,0.0642
p5,OR,2050,SO2,29.46,EASIUR,H6C,38843.24,1144363.7,0.1651
p5,OR,2050,SO2,29.46,InMAP,ACS,5349.11,157590.54,0.0227
p5,OR,2050,SO2,29.46,InMAP,H6C,13742.4,404865.95,0.0584
p6,OR,2010,SO2,51.96,AP2,ACS,3117.71,161995.44,0.0234
p6,OR,2010,SO2,51.96,AP2,H6C,8009.2,416156.42,0.06
p6,OR,2010,SO2,51.96,EASIUR,ACS,13563.58,704760.94,0.1017
p6,OR,2010,SO2,51.96,EASIUR,H6C,34848.04,1810698.03,0.2612
p6,OR,2010,SO2,51.96,InMAP,ACS,4489.06,233250.82,0.0336
p6,OR,2010,SO2,51.96,InMAP,H6C,11532.66,599234.72,0.0864
